"",".id","Year","Age","Sex","Deaths","Exposures"
"213",3,2012,70,"Total",4701,346388
"214",1,2012,71,"Female",1926,226041
"215",2,2012,71,"Male",3768,196203
"216",3,2012,71,"Total",5694,422244
"217",1,2012,72,"Female",1905,152372
"218",2,2012,72,"Male",3860,127207
"219",3,2012,72,"Total",5765,279579
"220",1,2012,73,"Female",1900,171735
"221",2,2012,73,"Male",3591,142785
"222",3,2012,73,"Total",5491,314520
"223",1,2012,74,"Female",2412,191544
"224",2,2012,74,"Male",4440,156320
"225",3,2012,74,"Total",6852,347864
"226",1,2012,75,"Female",3151,209977
"227",2,2012,75,"Male",5269,164892
"228",3,2012,75,"Total",8420,374869
"229",1,2012,76,"Female",3618,200656
"230",2,2012,76,"Male",5669,157154
"231",3,2012,76,"Total",9287,357810
"232",1,2012,77,"Female",4014,197180
"233",2,2012,77,"Male",6156,150511
"234",3,2012,77,"Total",10170,347691
"235",1,2012,78,"Female",4729,199271
"236",2,2012,78,"Male",6609,147908
"237",3,2012,78,"Total",11338,347179
"238",1,2012,79,"Female",5468,193211
"239",2,2012,79,"Male",7100,139863
"240",3,2012,79,"Total",12568,333074
"241",1,2012,80,"Female",5922,178747.48
"242",2,2012,80,"Male",7360,125265.93
"243",3,2012,80,"Total",13282,304013.41
"244",1,2012,81,"Female",6661,173471.5
"245",2,2012,81,"Male",7632,115174.05
"246",3,2012,81,"Total",14293,288645.55
"247",1,2012,82,"Female",7318,160247.11
"248",2,2012,82,"Male",7713,103682.22
"249",3,2012,82,"Total",15031,263929.33
"250",1,2012,83,"Female",8026,151256.51
"251",2,2012,83,"Male",8010,92674.83
"252",3,2012,83,"Total",16036,243931.34
"253",1,2012,84,"Female",8292,135859.37
"254",2,2012,84,"Male",7780,80555.55
"255",3,2012,84,"Total",16072,216414.92
"256",1,2012,85,"Female",8984,126159.63
"257",2,2012,85,"Male",7724,70642.58
"258",3,2012,85,"Total",16708,196802.21
"259",1,2012,86,"Female",9324,112514.64
"260",2,2012,86,"Male",7363,60854.93
"261",3,2012,86,"Total",16687,173369.57
"262",1,2012,87,"Female",9722,100630.73
"263",2,2012,87,"Male",7014,50767.79
