.id,Year,Sex,q0,e0,q45_60
AUS,1976,m,0.01498,69.4,0.15597780691174246
AUS,1977,b,0.01237,73.47,0.11426334167137941
AUS,1977,f,0.01078,77.06,0.07989625418252366
AUS,1977,m,0.01388,70.07,0.1474130219343096
AUS,1978,b,0.01217,73.74,0.1115424111210197
AUS,1978,f,0.01066,77.33,0.07815802230347368
AUS,1978,m,0.01359,70.33,0.1437545616177326
AUS,1979,b,0.01109,74.33,0.10731588740922582
AUS,1979,f,0.00964,77.99,0.07239117391524086
AUS,1979,m,0.01247,70.85,0.14090570656593793
AUS,1980,b,0.0106,74.57,0.10493729117209794
AUS,1980,f,0.00951,78.22,0.07046000078226455
AUS,1980,m,0.01164,71.09,0.13798952368281425
AUS,1981,b,0.01039,74.78,0.10162150015350313
AUS,1981,f,0.00897,78.43,0.06863316485135751
AUS,1981,m,0.01173,71.3,0.13315803001571536
AUS,1982,b,0.01011,74.72,0.10018219644113313
AUS,1982,f,0.00883,78.29,0.07020905304055636
AUS,1982,m,0.01132,71.31,0.12875397727150828
AUS,1983,b,0.00967,75.44,0.09651828469578394
AUS,1983,f,0.00875,78.82,0.0676996104045241
AUS,1983,m,0.01054,72.15,0.12390147635826876
AUS,1984,b,0.00943,75.51,0.09375807021536475
AUS,1984,f,0.00814,78.84,0.06478140656013709
AUS,1984,m,0.01066,72.27,0.1211407994162711
AUS,1985,b,0.00984,75.43,0.09207751385604457
AUS,1985,f,0.00865,78.67,0.06618137299571991
AUS,1985,m,0.01096,72.28,0.11656819213022618
AUS,1986,b,0.00883,76.07,0.08674833169247798
AUS,1986,f,0.00753,79.31,0.06132696529802817
AUS,1986,m,0.01006,72.9,0.110695481271055
AUS,1987,b,0.00896,76.09,0.08682075859282234
AUS,1987,f,0.00787,79.34,0.061297486260224465
AUS,1987,m,0.01,72.92,0.11080195653031821
AUS,1988,b,0.0082,76.35,0.08262844733171093
AUS,1988,f,0.00703,79.6,0.059608336357229175
AUS,1988,m,0.00931,73.18,0.10431066351626395
AUS,1989,b,0.00848,76.2,0.08112249341968492
AUS,1989,f,0.00752,79.38,0.058570491045055406
AUS,1989,m,0.0094,73.11,0.10239991724577246
AUS,1990,b,0.00792,77.04,0.07610510064720055
AUS,1990,f,0.00707,80.15,0.05450356973307413
AUS,1990,m,0.00871,73.98,0.09655329563124038
AUS,1991,b,0.00686,77.48,0.07389915011417136
AUS,1991,f,0.00601,80.49,0.05385850516851076
AUS,1991,m,0.00767,74.49,0.0929649019846287
AUS,1992,b,0.00691,77.47,0.07274356131464066
AUS,1992,f,0.00587,80.48,0.05346783706682945
AUS,1992,m,0.00789,74.5,0.0911204209022195
AUS,1993,b,0.00603,78.01,0.06971844212279577
AUS,1993,f,0.0053,80.99,0.05083434665140707
AUS,1993,m,0.00672,75.04,0.08770588499623311
AUS,1994,b,0.00595,77.86,0.06862183451737025
AUS,1994,f,0.00533,80.82,0.051223606279059086
AUS,1994,m,0.00654,74.92,0.08527584739208238
AUS,1995,b,0.00566,78.26,0.06574347139004932
AUS,1995,f,0.0051,81.13,0.04935491456027452
AUS,1995,m,0.00619,75.39,0.08142935607647772
AUS,1996,b,0.00572,78.35,0.06517135940279628
AUS,1996,f,0.00503,81.26,0.04969147862119527
AUS,1996,m,0.00638,75.45,0.07997425632615418
AUS,1997,b,0.00551,78.63,0.06290285106382154
AUS,1997,f,0.00513,81.38,0.04811414821567517
AUS,1997,m,0.00586,75.87,0.07706209744794279
AUS,1998,b,0.00502,79.03,0.06077279536807223
AUS,1998,f,0.00439,81.86,0.046535783531891695
AUS,1998,m,0.00563,76.18,0.07446083195930853
AUS,1999,b,0.00568,79.28,0.058201671783659426
AUS,1999,f,0.00502,82.04,0.04402682297017835
AUS,1999,m,0.00632,76.5,0.07183680880831855
AUS,2000,b,0.00508,79.62,0.05684617017206839
AUS,2000,f,0.00464,82.27,0.04383346566925195
AUS,2000,m,0.00551,76.95,0.06941453240171391
AUS,2001,b,0.00512,80.01,0.056450225177310465
AUS,2001,f,0.00435,82.61,0.042874675021843056
AUS,2001,m,0.00584,77.38,0.06958640654468773
AUS,2002,b,0.005,80.06,0.05506231494970126
AUS,2002,f,0.00469,82.54,0.04307509618727523
AUS,2002,m,0.00529,77.54,0.06675057556406994
AUS,2003,b,0.00483,80.45,0.05297364345626954
AUS,2003,f,0.00426,82.91,0.04012402468069931
